no reentry,reentry,more than 2 (condition on reentry)
0.458823529,0.541176471,0.163043478
0.478494624,0.521505376,0.06185567
0.446700508,0.553299492,0.128440367
0.454054054,0.545945946,0.148514851
0.435028249,0.564971751,0.16
0.438502674,0.561497326,0.142857143
0.434065934,0.565934066,0.116504854
0.477272727,0.522727273,0.22826087
0.529069767,0.470930233,0.160493827
0.518072289,0.481927711,0.1
0.447674419,0.552325581,0.168421053
0.462025316,0.537974684,0.152941176
0.396551724,0.603448276,0.161904762
0.447852761,0.552147239,0.155555556
0.454545455,0.545454545,0.111111111
0.486666667,0.513333333,0.12987013
0.421621622,0.578378378,0.168224299
0.385093168,0.614906832,0.161616162
0.428571429,0.571428571,0.169642857
0.376470588,0.623529412,0.141509434
0.418181818,0.581818182,0.1875
0.442424242,0.557575758,0.163043478
0.426136364,0.573863636,0.168316832
0.473214286,0.526785714,0.144067797
0.445026178,0.554973822,0.103773585
0.442708333,0.557291667,0.14953271
0.509433962,0.490566038,0.205128205
0.418478261,0.581521739,0.205607477
0.449541284,0.550458716,0.158333333
0.497409326,0.502590674,0.134020619
0.457983193,0.542016807,0.201550388
0.471428571,0.528571429,0.207207207
0.487437186,0.512562814,0.176470588
0.494845361,0.505154639,0.163265306
0.510638298,0.489361702,0.152173913
0.515151515,0.484848485,0.145833333
0.443902439,0.556097561,0.105263158
0.446428571,0.553571429,0.10483871
0.525423729,0.474576271,0.133928571
0.518181818,0.481818182,0.113207547
0.460093897,0.539906103,0.104347826
0.5,0.5,0.117647059
0.434210526,0.565789474,0.100775194
0.463917526,0.536082474,0.153846154
0.497757848,0.502242152,0.142857143
0.475728155,0.524271845,0.083333333
0.469387755,0.530612245,0.125
0.466960352,0.533039648,0.115702479
0.488584475,0.511415525,0.125
0.475,0.525,0.2
0.574766355,0.425233645,0.131868132
0.405405405,0.594594595,0.090909091
0.446601942,0.553398058,0.175438596
0.447761194,0.552238806,0.135135135
0.404145078,0.595854922,0.139130435
0.403669725,0.596330275,0.138461538
0.495049505,0.504950495,0.176470588
0.511520737,0.488479263,0.103773585
0.463963964,0.536036036,0.142857143
0.418326693,0.581673307,0.116438356
0.412844037,0.587155963,0.1640625
0.463636364,0.536363636,0.127118644
0.425,0.575,0.156521739
0.475247525,0.524752475,0.113207547
0.444976077,0.555023923,0.112068966
0.416243655,0.583756345,0.173913043
0.445652174,0.554347826,0.137254902
0.452914798,0.547085202,0.163934426
0.46039604,0.53960396,0.146788991
0.396226415,0.603773585,0.140625
0.47029703,0.52970297,0.093457944
0.483870968,0.516129032,0.116071429
0.389558233,0.610441767,0.085526316
0.442553191,0.557446809,0.152671756
0.491304348,0.508695652,0.145299145
0.528037383,0.471962617,0.227722772
0.49047619,0.50952381,0.121495327
0.443396226,0.556603774,0.118644068
0.457627119,0.542372881,0.140625
0.412955466,0.587044534,0.103448276
0.452380952,0.547619048,0.130434783
0.459016393,0.540983607,0.166666667
0.447698745,0.552301255,0.098484848
0.5,0.5,0.136363636
0.48,0.52,0.102564103
